USERID,USERNAME,PASSWORD,GROUP,
1,dwl1003,Jjyyffrrll1!,user,
2,dwl1003,Jjyyffrrll1!,user,
3,dwl1003,Jjjyyyyfffrrll!!!,user,
4,dwl1003,Jjjajsdj1111!!,user,
5,jyfrl,Jjyyffrrll1!,admin,
6,epicjyfrl,Jjyyffrrll1!,user,
7,dwl1111,Jjykkffr!!1,user,
8,aaaaaa,AAAaaaaaaa1111,user,
9,asdasdasd,asdasdASD11,user,
10,asdasdasdasda,asdasdasdSASD11,user,
11,xxXXX,111!!!adadasdasdas,user,
12,asdhasid,ASIDHiasda11123,user,
13,pizza,OASUdiopas123123,user,
14,dwl1012312,Jioadoaiiow112312!,user,
15,Aldka,awodjIOJHOI12312,user,
